key,en,fr,ar
classroom_intro_01,"Good morning, everyone.","Bonjour à tous.","صباح الخير جميعاً."
classroom_intro_02,"We have been late on our lesson.","Nous avons pris du retard dans notre leçon.","لقد تأخرنا في درسنا."
classroom_intro_03,"Let's start right away.","Commençons tout de suite.","لنبدأ فوراً."
classroom_intro_04,"Can you open to page 54?","Pouvez-vous ouvrir à la page 54 ?","هل يمكنكم فتح الصفحة 54؟"
player_intro_01,"I am getting enough of this.","J'en ai assez de tout ça.","لقد سئمت من كل هذا."
player_intro_02,"Didn't we study that last week?","On n'a pas déjà étudié ça la semaine dernière ?","ألم ندرس هذا الأسبوع الماضي؟"
teacher_2_01,"Teacher: Pay attention to the board, please.","Professeur : Sois attentif au tableau, s'il te plaît.","المعلم: انتبه إلى السبورة من فضلك."
lookback_book_01,"Child: Wait... this illustration wasn't here before.","Enfant : Attends... cette illustration n'était pas là avant.","الطفل: مهلاً... هذا الرسم لم يكن هنا من قبل."
lookback_book_02,"Child: It feels like... it's calling to me.","Enfant : C'est comme... s'il m'appelait.","الطفل: يبدو وكأنه... يناديني."
teddy_greet_01,"Hey there, little friend.","Salut, petit ami.","مرحباً يا صديقي الصغير."
teddy_greet_02,"How are you?","Comment vas-tu ?","كيف حالك؟"
Hi,"Hello!","Salut !","مرحباً!"
How Are You,"How are you?","Comment vas-tu ?","كيف حالك؟"
teddy_metro_01,"This place feels strange.","Cet endroit semble étrange.","هذا المكان يبدو غريباً."
teddy_metro_02,"Stay close to me.","Reste près de moi.","ابقَ قريباً مني."
teddy_metro_03,"{TEDDY_NAME}: The elevator is on, but we need our train ticket!","{TEDDY_NAME} : L'ascenseur est allumé, mais il nous faut notre billet !","{TEDDY_NAME}: المصعد يعمل، لكننا نحتاج تذكرتنا!"
teddy_metro_04,"{TEDDY_NAME}: Look around the platform... it must be here!","{TEDDY_NAME} : Cherche sur le quai... il doit être ici !","{TEDDY_NAME}: ابحث في الرصيف... لا بد أنها هنا!"
teddy_metro_05,"{TEDDY_NAME}: You found the ticket!","{TEDDY_NAME} : Tu as trouvé le billet !","{TEDDY_NAME}: لقد وجدت التذكرة!"
teddy_metro_06,"{TEDDY_NAME}: Let's go, the elevator is ready for us!","{TEDDY_NAME} : Allons-y, l'ascenseur nous attend !","{TEDDY_NAME}: هيا بنا، المصعد جاهز لنا!"
begger_metro_01,"Old Traveler: Welcome, welcome... you took your time getting here.","Vieux voyageur : Bienvenue, bienvenue... tu as mis du temps à venir.","المسافر العجوز: أهلاً، أهلاً... لقد تأخرت في المجيء."
begger_metro_02,"Old Traveler: Still wearing your school uniform... were you studying?","Vieux voyageur : Toujours avec ton tablier d'école... tu étudiais ?","المسافر العجوز: ما زلت ترتدي مريلة المدرسة... هل كنت تدرس؟"
begger_metro_03,"Old Traveler: Things aren't quite the way you remember them.","Vieux voyageur : Les choses ne sont plus comme dans tes souvenirs.","المسافر العجوز: لم تعد الأمور كما كنت تتذكرها أبداً."
begger_metro_04,"Old Traveler: Anyway, the others are upstairs... go up to them.","Vieux voyageur : Quoi qu'il en soit, les autres sont en haut... va les rejoindre.","المسافر العجوز: على أية حال، الآخرون في الطابق العلوي... اصعد إليهم."
teddy_reaction_train_01,"{TEDDY_NAME}: What happened?!","{TEDDY_NAME} : Qu'est-ce qui s'est passé ?!","{TEDDY_NAME}: ماذا حدث؟!"
neighbor_01,"Neighbor: Ah... you're finally here.","Voisin : Ah... tu es enfin là.","الجار: آه... لقد وصلت أخيراً."
neighbor_02,"Child: Here?","Enfant : Ici ?","الطفل: هنا؟"
neighbor_03,"Neighbor: We've been waiting for you.","Voisin : Nous t'attendions.","الجار: لقد كنا ننتظرك."
neighbor_04,"Child: For what?","Enfant : Pourquoi ?","الطفل: من أجل ماذا؟"
neighbor_05,"Neighbor: ...","Voisin : ...","الجار: ..."
shop_01,"Shop Owner: We thought you weren't coming.","Commerçant : On pensait que tu ne viendrais pas.","صاحب المتجر: ظننا أنك لن تأتي."
shop_02,"Child: Where are we going?","Enfant : Où allons-nous ?","الطفل: إلى أين نحن ذاهبون؟"
shop_03,"Shop Owner: I don't know.","Commerçant : Je ne sais pas.","صاحب المتجر: لا أعلم."
shop_04,"Child: Then why are you waiting?","Enfant : Alors pourquoi m'attendez-vous ?","الطفل: إذن لماذا تنتظرني؟"
shop_05,"Shop Owner: For you.","Commerçant : Pour toi.","صاحب المتجر: من أجلك."
bully_01,"Bully: You still don't understand?","Harceleur : Tu ne comprends toujours pas ?","المتنمر: ألا زلت لا تفهم؟"
bully_02,"Child: Understand what?","Enfant : Comprendre quoi ?","الطفل: أفهم ماذا؟"
bully_03,"Bully: Why nobody plays with you.","Harceleur : Pourquoi personne ne joue avec toi.","المتنمر: لماذا لا يلعب أحد معك."
bully_04,"Child: But you used to play with me.","Enfant : Mais tu jouais avec moi avant.","الطفل: لكنك كنت تلعب معي من قبل."
bully_05,"Bully: ...","Harceleur : ...","المتنمر: ..."
teddy_met_people_01,"{TEDDY_NAME}: Forget about them.","{TEDDY_NAME} : Oublie-les.","{TEDDY_NAME}: انسَ أمرهم."
